0.25	42.25
20.25	66.75
3.75	49.75
9.25	60.75
-5.25	38.25
28.75	68.75
9.25	39.75
9.25	55.25
6.75	44.75
-3.75	52.25
2.75	49.25
20.75	42.75
-2.25	38.25
-4.75	56.25
13.25	63.75
-1.75	40.75
14.75	53.75
9.25	46.75
13.25	51.25
-1.25	47.25
15.25	41.25
17.25	64.75
12.75	53.25
30.75	64.25
27.25	45.75
24.75	66.25
21.75	46.75
21.75	62.25
27.75	57.25
1.75	48.75
30.25	68.25
-3.25	57.25
17.25	53.75
24.75	45.25
2.75	50.75
29.75	63.75
4.75	49.25
23.25	60.75
26.75	61.75
25.25	58.25
16.75	48.75
20.25	54.25
14.25	65.75
27.25	66.75
18.75	65.25
15.75	58.25
-2.75	55.25
24.25	42.75
9.75	59.75
-2.75	53.25
11.25	43.25
34.75	66.75
11.25	45.75
22.25	44.75
18.75	68.25
25.75	58.75
15.75	56.75
19.25	49.75
9.25	48.25
27.25	53.75
27.75	61.25
18.75	42.75
24.25	54.25
31.25	54.75
23.75	43.75
32.25	56.75
33.75	58.25
23.75	51.25
20.75	50.75
26.25	64.25
14.75	49.75
25.75	41.75
17.75	63.25
1.25	42.25
29.25	59.75
19.75	64.25
4.75	51.25
20.75	40.75
0.25	43.25
32.25	68.25
-9.25	51.75
19.25	50.75
19.75	43.75
34.25	68.25
3.25	45.75
19.25	69.25
14.75	48.25
8.25	45.75
0.75	52.25
-5.25	39.75
13.25	41.75
-2.25	51.75
22.25	66.25
24.25	68.75
25.25	46.75
29.25	70.25
18.75	64.25
5.25	47.25
25.75	50.75
22.25	68.75
-8.25	38.75
16.25	51.25
23.25	69.25
15.25	52.25
11.75	58.75
6.25	59.75
31.75	58.75
21.75	38.75
-3.75	42.25
27.25	65.25
20.75	49.25
13.25	60.25
15.75	62.25
18.75	51.75
-5.75	42.75
28.75	62.25
-0.25	45.75
26.25	47.75
19.75	42.25
27.25	41.25
5.75	49.75
6.75	47.25
15.25	59.25
15.25	45.75
28.25	67.75
10.75	52.25
16.75	61.75
13.25	48.25
14.75	50.75
-0.25	48.75
19.75	45.25
26.75	50.25
4.75	50.25
30.75	67.25
8.25	48.75
29.75	66.75
22.25	45.75
10.75	60.75
23.75	62.75
30.25	48.75
11.75	61.25
16.25	46.25
24.25	47.25
36.25	68.25
22.75	54.75
9.25	50.25
23.75	66.75
-7.75	39.75
28.25	45.25
24.75	60.75
14.25	37.75
-1.75	42.25
4.25	44.75
-7.75	41.75
28.25	64.75
7.25	49.25
7.25	60.25
7.75	50.75
2.25	43.25
-8.25	40.75
12.75	64.75
18.25	49.75
22.75	41.25
25.75	56.25
25.75	67.25
6.75	52.75
6.75	50.75
4.25	47.75
-1.75	47.75
1.75	44.75
-0.25	51.75
24.25	49.75
17.75	59.75
-1.25	53.75
22.25	43.75
29.75	55.75
13.75	58.75
1.25	46.75
18.75	44.25
14.75	61.75
12.75	50.75
9.75	52.25
10.25	50.25
-6.75	54.75
11.75	48.25
21.25	41.25
20.75	65.25
24.75	62.25
22.75	51.25
25.75	43.75
-4.75	57.75
16.75	59.25
32.75	47.25
12.25	46.25
13.25	56.25
22.75	48.75
17.75	47.75
11.75	62.75
37.75	67.75
21.25	55.75
