,,,,,,,,,,,,,,,
Übergruppe,Parameter ,Erklärung ,Einheit,Default,Minimum Value,Maximum Value,Quelle min ,Quelle max,NameRLPJ,,Übergruppe,Parameter ,Erklärung ,Minimum Value,Maximum Value
Konkurrenz,sla,Specific leaf area ,m^2/kgC,"11,52","8,7","15,1","Xiao, C.-W., Janssens, I. A., Yuste, J. C., Ceulemans, R., 2006. Variation of specific leaf area and upscaling to leaf area index in mature Scots pine. Trees 20, 304-310.","Kayama, M., Kitaoka, S., Wang, W., Choi, D., Koike, T., 2007. Needle longevity, photosynthetic rate and nitrogen concentration of eight spruce taxa planted in northern Japan. Tree Physiology 27, 1585-1593.",Pic_abi_sla,,,,,,
Establishment,est_max,Max sapling establishment rate ,(indiv/m2/year),"0,1","0,05","0,2",,,shade_tolerant_est_max,,,,,,
Wachstum,turnover_sap,sapwood turnover rate,fraction/year,"0,065","0,04","0,09",,,Pic_abi_turnover_sap,,,,,,
Establishment,alphar,Shape parameter for recruitment-juv growth rate relationship,einheitenlos,"4,0",2,5,,,Pic_abi_alphar,,,,,,
Water,respcoeff,Respiration coefficient,einheitenlos,"1,0","0,8","2,2",,,boreal_tree_respcoeff,,,,,,
Photosynthesis,pstemp_low,Approx lower range of temp optimum for photosynthesis ,(deg C),10,6.5,13,,,boreal_tree_pstem_low,,,,,,
Photosynthesis,pstemp_high,Approx higher range of temp optimum for photosynthesis (deg C),(deg C),25,17,30,,,boreal_tree_pstem_high,,,,,,
Mortality,greff_min,Threshold for growth suppression mortality ,kgC/m2 leaf/yr,"0,135","0,03","0,19",,,Pic_abi_greff_min,,,,,,
Wachstum,k_latosa,Tree leaf to sapwood xs area ratio,einheitenlos,4000,2500,7000,,,needle_leaved_k_latosa,,,,,,
Störung ,cutinterval,Time until trees are cut,years,90,60,120,,,MixedC_cutinterval,,,,,,
Störung ,thinning_intensity,percentage of treshold crowncoverage that is kept after thinning,einheitenlos,"0,9","0,5",1,,,vali_stand_thinning_intensity,,,,,,
Water ,drought_tolerance ,"(0 = very -> 1 = not at all, Used to implement drought-limited establishment plus wauptake if wateruptake == SPECIESSPECIFIC)",einheitenlos,"0,48","0,2","0,65",,,Pic_abi_drought_tolerance,,,,,,
